Nome,Localidade,2012,2013,2014,2015,2016
Automovel,RO,194190,212652,229994,244423,255545
Automovel,AC,61928,67461,72807,77585,80355
Automovel,AM,304077,325698,345256,358570,366482
Automovel,RR,49321,53704,58451,63111,66722
Automovel,PA,418057,455649,492271,523936,548146
Automovel,AP,59772,64386,69360,72881,74262
Automovel,TO,143847,158702,173524,186320,194009
Automovel,MA,307803,335793,361709,383061,398265
Automovel,PI,230034,255114,281698,303997,322487
Automovel,CE,808892,881571,954720,1014720,1056521
Automovel,RN,396831,430289,462171,489097,510192
Automovel,PB,376456,407624,438071,464417,483927
Automovel,PE,1010257,1088338,1156217,1204524,1237421
Automovel,AL,253554,275556,296274,312291,325193
Automovel,SE,243732,262664,282195,297379,307389
Automovel,BA,1301065,1415342,1527370,1616152,1684719
Automovel,MG,4602143,4926454,5215337,5441609,5652316
Automovel,ES,747856,797528,844190,876424,900623
Automovel,RJ,3621367,3839651,4042234,4193776,4304384
Automovel,SP,14880770,15643414,16319979,16834629,17247
Automovel,PR,3527525,3759306,3974107,4109097,4203635
Automovel,SC,2281766,2428891,2560638,2655083,2733827
Automovel,RS,3392848,3622309,3821098,3960938,4071134
Automovel,MS,533427,580821,621596,652713,677021
Automovel,MT,494835,543484,587827,620792,651065
Automovel,GO,1399670,1512266,1611258,1680613,1729629
Automovel,DF,1040026,1099719,1146312,1184570,1214589
Caminhao,RO,25636,26735,28165,29299,29982
Caminhao,AC,5988,6297,6614,6848,6968
Caminhao,AM,18398,19023,19652,19883,19851
Caminhao,RR,3656,3881,4148,4430,4646
Caminhao,PA,47021,50422,53847,56671,58622
Caminhao,AP,3489,3678,3917,4018,4027
Caminhao,TO,20311,20706,21520,22250,22215
Caminhao,MA,30604,33214,35639,37620,38994
Caminhao,PI,20240,22737,24771,26169,27410
Caminhao,CE,57316,61047,65205,68150,70450
Caminhao,RN,25395,27473,29335,30576,31602
Caminhao,PB,24141,25508,27036,27858,28459
Caminhao,PE,78868,83632,88060,90702,91615
Caminhao,AL,17902,18949,19871,20324,20542
Caminhao,SE,18244,19056,20151,20709,20833
Caminhao,BA,99905,106213,110658,113457,115164
Caminhao,MG,285123,299132,311620,318436,323729
Caminhao,ES,61363,64749,68006,69636,70884
Caminhao,RJ,126228,132959,138721,142222,143509
Caminhao,SP,626913,643241,658713,664617,669056
Caminhao,PR,235659,246111,255475,260556,264684
Caminhao,SC,134424,139545,144648,146819,148303
Caminhao,RS,198113,206979,214611,219376,222940
Caminhao,MS,43392,45487,47395,48647,49759
Caminhao,MT,56367,59982,63688,65984,67896
